Dates,SPX_MOV_AVG_200D,SPX_RSI_14D,SPX_MOV_AVG_50D,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SPX_PX_VOLUME,SPX_VOLATILITY_30D,SPX_BETA_ADJ_OVERRIDABLE,SPX_PX_HIGH_LOW_DIFFERENCE,CONCCONF_PX_LAST,NAPMPMI_PX_LAST,SPXINDEX_PE_RATIO,SPXINDEX_PX_TO_BOOK_RATIO,SPXINDEX_PX_TO_SALES_RATIO,SPXINDEX_EARN_YLD,USGG10YR_PX_LAST,VIX_PX_LAST
2016-04-25,2014.85,61.41,2017.85,2087.79,2089.37,2089.37,2077.52,551000000.0,9.15,1.0,11.85,96.1,51.0,18.4257,2.8603,1.8449,5.4272,1.9128,14.08
2016-04-26,2014.92,62.6,2022.39,2091.7,2089.84,2096.87,2085.8,609000000.0,9.11,1.0,11.07,96.1,51.0,18.4602,2.8657,1.8484,5.417,1.9271,13.96
2016-04-27,2014.9,63.68,2026.38,2095.15,2092.33,2099.89,2082.31,687000000.0,9.01,1.0,17.58,96.1,51.0,18.491,2.8704,1.8514,5.408,1.8508,13.77
2016-04-28,2014.73,54.28,2029.36,2075.81,2090.93,2099.3,2071.62,700000000.0,9.37,1.0,27.68,96.1,51.0,18.3202,2.8439,1.8343,5.4584,1.8243,15.22
2016-04-29,2014.52,49.97,2032.31,2065.3,2071.82,2073.85,2052.28,896000000.0,9.44,1.0,21.57,96.1,51.0,18.2275,2.8295,1.825,5.4862,1.8333,15.7
2016-05-02,2014.31,55.78,2035.58,2081.43,2067.17,2083.42,2066.11,609000000.0,9.7,1.0,17.31,94.7,51.3,18.3698,2.8516,1.8393,5.4437,1.8723,14.68
2016-05-03,2013.99,48.93,2037.94,2063.37,2077.18,2077.18,2054.89,642000000.0,10.08,1.0,22.29,94.7,51.3,18.2104,2.8269,1.8233,5.4914,1.7963,15.6
2016-05-04,2013.61,44.9,2040.54,2051.12,2060.3,2060.3,2045.55,634000000.0,10.05,1.0,14.75,94.7,51.3,18.1023,2.8101,1.8125,5.5241,1.7752,16.05
2016-05-05,2013.26,44.74,2042.96,2050.63,2052.95,2060.23,2045.77,607000000.0,10.05,1.0,14.46,94.7,51.3,18.54,2.7758,1.8088,5.3937,1.7453,15.91
2016-05-06,2012.98,47.4,2045.06,2057.14,2047.77,2057.72,2039.45,596000000.0,10.09,1.0,18.27,94.7,51.3,18.5935,2.7752,1.8142,5.3782,1.7789,14.72
2016-05-09,2012.76,48.04,2047.28,2058.69,2057.55,2064.15,2054.31,562000000.0,9.75,1.0,9.84,94.7,51.3,18.6082,2.7795,1.8157,5.374,1.7507,14.57
2016-05-10,2012.79,57.33,2050.32,2084.39,2062.63,2084.87,2062.63,526000000.0,10.36,1.0,22.24,94.7,51.3,18.8695,2.8134,1.8385,5.2996,1.7613,13.63
2016-05-11,2012.77,49.88,2052.04,2064.46,2083.29,2083.29,2064.46,588000000.0,10.76,1.0,18.83,94.7,51.3,18.6924,2.7868,1.821,5.3498,1.7367,14.69
2016-05-12,2012.62,49.76,2053.6,2064.11,2067.17,2073.99,2053.13,597000000.0,10.58,1.0,20.86,94.7,51.3,18.7254,2.7877,1.8209,5.3403,1.7516,14.41
2016-05-13,2012.31,43.96,2054.66,2046.61,2062.5,2066.79,2043.13,576000000.0,10.84,0.99,23.66,94.7,51.3,18.5664,2.7641,1.8054,5.3861,1.7001,15.04
2016-05-16,2012.11,51.01,2055.99,2066.66,2046.53,2071.88,2046.53,580000000.0,10.8,1.0,25.35,94.7,51.3,18.7526,2.7913,1.8231,5.3326,1.7533,14.68
2016-05-17,2011.82,45.09,2056.9,2047.21,2065.04,2065.69,2040.82,694000000.0,10.72,0.99,24.87,94.7,51.3,18.5725,2.7649,1.8058,5.3843,1.7723,15.57
2016-05-18,2011.57,45.23,2058.27,2047.63,2044.38,2060.61,2034.49,565000000.0,10.08,0.99,26.12,94.7,51.3,18.5842,2.7654,1.8061,5.3809,1.8538,15.95
2016-05-19,2011.3,42.98,2059.29,2040.04,2044.21,2044.21,2025.91,595000000.0,10.11,0.99,18.3,94.7,51.3,18.5145,2.7558,1.7992,5.4012,1.8487,16.33
2016-05-20,2011.07,47.53,2060.54,2052.32,2041.88,2058.35,2041.88,725000000.0,10.24,1.0,16.47,94.7,51.3,18.6035,2.7721,1.8098,5.3753,1.8384,15.2
2016-05-23,2010.89,46.15,2061.06,2048.04,2052.23,2055.58,2047.26,531000000.0,9.83,1.0,8.32,94.7,51.3,18.5647,2.7664,1.8061,5.3866,1.835,15.82
2016-05-24,2010.88,55.32,2062.19,2076.06,2052.65,2079.67,2052.65,566000000.0,10.23,1.0,27.02,94.7,51.3,18.8206,2.8042,1.8307,5.3133,1.8629,14.42
2016-05-25,2010.81,59.18,2063.68,2090.54,2078.93,2094.73,2078.93,590000000.0,10.44,1.0,15.8,94.7,51.3,18.9653,2.8241,1.8437,5.2728,1.8664,13.9
2016-05-26,2010.84,59.01,2064.94,2090.1,2091.44,2094.3,2087.08,487000000.0,10.44,1.0,7.22,94.7,51.3,18.9607,2.8232,1.8434,5.2741,1.8282,13.43
2016-05-27,2010.91,61.4,2066.1,2099.06,2090.06,2099.06,2090.06,520000000.0,10.33,1.0,9.0,94.7,51.3,19.042,2.8353,1.8513,5.2516,1.851,13.12
